Threads Tasks Time(ms)
1 1 725
2 2 589
5 5 207
10 10 129
20 20 125
30 30 131
40 40 135
50 50 127
75 75 125
100 100 127
250 250 122
500 500 126
1000 1000 145
1 100 520
2 100 281
5 100 144
10 100 117
20 100 132
30 100 121
40 100 122
50 100 122
75 100 124
100 100 126
250 100 126
500 100 122
1000 100 126
1 10 516
2 20 276
5 50 145
10 100 117
20 200 126
30 300 123
40 400 120
50 500 129
75 750 118
100 1000 132
250 2500 11
500 5000 28
1000 10000 56
1 1 5837
2 2 4790
5 5 1573
10 10 805
20 20 612
30 30 655
40 40 652
50 50 633
75 75 685
100 100 801
250 250 683
500 500 749
1000 1000 750
1 100 4620
2 100 2302
5 100 962
10 100 688
20 100 756
30 100 739
40 100 711
50 100 724
75 100 723
100 100 741
250 100 735
500 100 736
1000 100 856
1 10 4601
2 20 2320
5 50 995
10 100 713
20 200 704
30 300 726
40 400 746
50 500 699
75 750 706
100 1000 738
250 2500 13
500 5000 29
1000 10000 58
